epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,20.3636,0.55293,0.98536,0.96784,0.66869,0.69898,0.82528,0.55444,1.64666,1.53527,1.37717,2.82082e-05,2.82082e-05,2.82082e-05
40,20.6764,0.81198,1.04979,1.31216,0.66869,0.69898,0.82528,0.55444,1.64666,1.53527,1.37717,2.84911e-05,2.84911e-05,2.84911e-05
41,20.9926,0.71822,0.95473,1.06202,0.66444,0.68945,0.82179,0.51191,1.59255,1.57512,1.35307,2.87504e-05,2.87504e-05,2.87504e-05
42,21.2788,0.89193,1.29553,1.21319,0.66444,0.68945,0.82179,0.51191,1.59255,1.57512,1.35307,2.89861e-05,2.89861e-05,2.89861e-05
43,21.5824,0.69217,1.15692,1.19069,0.69609,0.68731,0.73879,0.43641,1.63882,1.62042,1.36641,2.91983e-05,2.91983e-05,2.91983e-05
44,21.8713,1.00284,2.21622,1.38262,0.69609,0.68731,0.73879,0.43641,1.63882,1.62042,1.36641,2.93869e-05,2.93869e-05,2.93869e-05
45,22.1752,0.74175,1.2836,1.20269,0.58635,0.51963,0.54703,0.341,1.68883,1.68788,1.38555,2.9552e-05,2.9552e-05,2.9552e-05
46,22.4536,0.9841,1.51382,1.30084,0.58635,0.51963,0.54703,0.341,1.68883,1.68788,1.38555,2.96935e-05,2.96935e-05,2.96935e-05
47,22.748,1.19944,1.55783,1.49921,0.58396,0.49808,0.53687,0.33242,1.7108,1.73235,1.39933,2.98114e-05,2.98114e-05,2.98114e-05
48,23.0342,0.91306,0.78052,1.32034,0.58396,0.49808,0.53687,0.33242,1.7108,1.73235,1.39933,2.99058e-05,2.99058e-05,2.99058e-05
49,23.3312,0.73956,0.98013,1.1965,0.57549,0.49042,0.50069,0.29742,1.69981,1.76603,1.39683,2.99766e-05,2.99766e-05,2.99766e-05
50,23.6146,0.78299,0.99625,1.17749,0.57549,0.49042,0.50069,0.29742,1.69981,1.76603,1.39683,3.00238e-05,3.00238e-05,3.00238e-05
51,23.9109,0.84985,1.01611,1.17907,0.64914,0.48289,0.5221,0.29796,1.67681,1.80327,1.38803,3.00475e-05,3.00475e-05,3.00475e-05
52,24.194,0.76361,1.54827,1.14199,0.64914,0.48289,0.5221,0.29796,1.67681,1.80327,1.38803,3.00476e-05,3.00476e-05,3.00476e-05
53,24.4708,0.80387,0.94847,1.15499,0.64914,0.48289,0.5221,0.29796,1.67681,1.80327,1.38803,3.00242e-05,3.00242e-05,3.00242e-05
54,24.775,0.76515,0.96564,1.31352,0.81964,0.48274,0.51924,0.29677,1.70226,1.87745,1.4028,2.99772e-05,2.99772e-05,2.99772e-05
55,25.0672,0.65852,1.24535,1.07109,0.81964,0.48274,0.51924,0.29677,1.70226,1.87745,1.4028,2.99066e-05,2.99066e-05,2.99066e-05
56,25.3612,0.88883,0.99844,1.3543,0.81964,0.48274,0.51924,0.29677,1.70226,1.87745,1.4028,2.98125e-05,2.98125e-05,2.98125e-05
57,25.667,0.74361,0.71485,1.12796,0.83595,0.4927,0.5191,0.27619,1.7665,1.91275,1.42857,2.96948e-05,2.96948e-05,2.96948e-05
58,25.9495,0.85515,0.67265,1.29789,0.83595,0.4927,0.5191,0.27619,1.7665,1.91275,1.42857,2.95535e-05,2.95535e-05,2.95535e-05
59,26.2565,0.96159,0.88625,1.16161,0.83595,0.4927,0.5191,0.27619,1.7665,1.91275,1.42857,2.93887e-05,2.93887e-05,2.93887e-05
60,26.6046,0.75991,1.18605,1.17667,0.83589,0.49393,0.51682,0.27553,1.78889,1.9289,1.43801,2.92003e-05,2.92003e-05,2.92003e-05
61,26.9283,0.76765,0.8589,1.021,0.83589,0.49393,0.51682,0.27553,1.78889,1.9289,1.43801,2.89884e-05,2.89884e-05,2.89884e-05
62,27.2574,0.58783,0.67227,0.99114,0.83589,0.49393,0.51682,0.27553,1.78889,1.9289,1.43801,2.87529e-05,2.87529e-05,2.87529e-05
63,27.6008,0.92339,1.52578,1.35067,0.83722,0.48889,0.51631,0.27531,1.82473,2.01922,1.46552,2.84938e-05,2.84938e-05,2.84938e-05
64,27.9173,0.7744,0.8189,1.22031,0.83722,0.48889,0.51631,0.27531,1.82473,2.01922,1.46552,2.82112e-05,2.82112e-05,2.82112e-05
65,28.2228,0.70342,0.80917,1.1569,0.83722,0.48889,0.51631,0.27531,1.82473,2.01922,1.46552,2.7905e-05,2.7905e-05,2.7905e-05
66,28.5456,0.78053,1.39196,1.15987,0.83496,0.49185,0.51837,0.32376,1.83888,2.07253,1.48163,2.75753e-05,2.75753e-05,2.75753e-05
67,28.8323,0.83907,1.26379,1.25439,0.83496,0.49185,0.51837,0.32376,1.83888,2.07253,1.48163,2.7222e-05,2.7222e-05,2.7222e-05
68,29.1175,0.8375,1.00275,1.15713,0.83496,0.49185,0.51837,0.32376,1.83888,2.07253,1.48163,2.68451e-05,2.68451e-05,2.68451e-05
69,29.4339,0.87388,0.91949,1.21767,0.839,0.48588,0.52851,0.30975,1.83777,2.03995,1.47413,2.64447e-05,2.64447e-05,2.64447e-05
70,29.7309,0.63522,0.68601,1.01454,0.839,0.48588,0.52851,0.30975,1.83777,2.03995,1.47413,2.60207e-05,2.60207e-05,2.60207e-05
71,30.018,0.7317,0.73691,1.11748,0.839,0.48588,0.52851,0.30975,1.83777,2.03995,1.47413,2.55731e-05,2.55731e-05,2.55731e-05
72,30.3206,0.52009,0.74595,1.04233,0.83794,0.48371,0.52959,0.32198,1.84774,2.08564,1.47842,2.5102e-05,2.5102e-05,2.5102e-05
73,30.5959,0.78589,0.76607,1.17026,0.83794,0.48371,0.52959,0.32198,1.84774,2.08564,1.47842,2.46073e-05,2.46073e-05,2.46073e-05
